dish_id,ingredient_id,qty,unit,optional,role
D001,I001,150,g,FALSE,main
D001,I002,300,ml,FALSE,main
D001,I003,3,Stück,FALSE,main
D001,I004,2,EL,TRUE,side
D001,I005,1,TL,TRUE,side
D002,I006,600,g,FALSE,main
D002,I007,150,g,FALSE,main
D002,I008,1,Bund,FALSE,main
D002,I009,3,EL,TRUE,side
D002,I004,1,TL,TRUE,side
D002,I010,1,Stück,TRUE,side
D003,I011,200,g,FALSE,main
D003,I012,200,g,FALSE,main
D003,I013,0.5,Stück,FALSE,main
D003,I014,0.5,Bund,TRUE,side
D003,I015,1,EL,TRUE,side
D004,I016,400,g,FALSE,main
D004,I017,250,g,FALSE,main
D004,I018,200,g,FALSE,main
D004,I019,0.25,TL,TRUE,side
D004,I013,1,Stück,TRUE,side
D005,I020,400,g,FALSE,main
D005,I003,1,Stück,FALSE,main
D005,I022,400,g,FALSE,main
D005,I023,1,Stück,TRUE,side
D005,I024,0.5,Bund,TRUE,side
D005,I025,1,TL,TRUE,side
D006,I026,6,Stück,FALSE,main
D006,I027,200,ml,FALSE,main
D006,I004,2,EL,TRUE,side
D006,I028,1,Stück,TRUE,side
D006,I029,1,Streifen,TRUE,side
D007,I026,2,Stück,FALSE,main
D007,I003,3,Stück,FALSE,main
D007,I030,250,ml,FALSE,main
D007,I031,150,g,FALSE,main
D007,I004,2,EL,TRUE,side
D007,I032,1,TL,TRUE,side
D007,I033,1,Päckchen,TRUE,side
D008,I026,4,Stück,FALSE,main
D008,I034,60,g,FALSE,main
D008,I035,1,Rolle,FALSE,main
D008,I004,2,EL,TRUE,side
D008,I036,2,EL,TRUE,side
D008,I037,40,g,TRUE,side
D009,I038,250,g,FALSE,main
D009,I039,100,g,FALSE,main
D009,I040,150,g,FALSE,main
D009,I041,200,g,TRUE,side
D009,I042,100,g,TRUE,side
D009,I003,2,Stück,TRUE,side
D010,I044,300,g,FALSE,main
D010,I045,250,g,FALSE,main
D010,I046,1,Stück,FALSE,main
D010,I047,3,EL,TRUE,side
D010,I048,1,EL,TRUE,side
D010,I049,15,g,TRUE,side
D010,I050,2,Zehen,TRUE,side
D011,I051,250,g,FALSE,main
D011,I050,4,Zehen,FALSE,main
D011,I052,60,ml,FALSE,main
D011,I053,0.5,TL,TRUE,side
D011,I024,0.5,Bund,TRUE,side
D011,I054,30,g,TRUE,side
D012,I055,250,g,FALSE,main
D012,I056,120,g,FALSE,main
D012,I022,400,g,FALSE,main
D012,I057,40,g,TRUE,side
D012,I053,0.5,TL,TRUE,side
D013,I058,250,g,FALSE,main
D013,I059,400,g,FALSE,main
D013,I060,1,Stück,FALSE,main
D013,I050,2,Zehen,TRUE,side
D013,I052,30,ml,TRUE,side
D013,I024,0.5,Bund,TRUE,side
D014,I038,250,g,FALSE,main
D014,I061,200,g,FALSE,main
D014,I062,700,ml,FALSE,main
D014,I063,100,ml,TRUE,side
D014,I054,40,g,TRUE,side
D014,I013,0.5,Stück,TRUE,side
D015,I064,400,g,FALSE,main
D015,I065,200,g,FALSE,main
D015,I023,2,Stück,FALSE,main
D015,I002,100,ml,TRUE,side
D015,I014,0.5,Bund,TRUE,side
D016,I046,1,Stück,FALSE,main
D016,I066,1,Stück,FALSE,main
D016,I067,1,Stück,FALSE,main
D016,I052,40,ml,TRUE,side
D016,I068,1,EL,TRUE,side
D016,I069,2,Zweige,TRUE,side
D017,I070,800,g,FALSE,main
D017,I026,2,Stück,FALSE,main
D017,I071,2,EL,TRUE,side
D017,I004,1,EL,TRUE,side
D017,I010,2,Stück,TRUE,side
D017,I072,3,Stück,TRUE,side
D018,I073,150,g,FALSE,main
D018,I094,120,g,FALSE,main
D018,I050,2,Zehen,FALSE,main
D018,I052,50,ml,TRUE,side
D018,I075,1,EL,TRUE,side
D018,I076,100,g,TRUE,side
D018,I027,400,ml,FALSE,main
D019,I077,350,g,FALSE,main
D019,I078,200,g,FALSE,main
D019,I079,400,ml,FALSE,main
D019,I080,2,EL,FALSE,main
D019,I046,1,Stück,TRUE,side
D019,I081,2,Stück,TRUE,side
D020,I044,300,g,FALSE,main
D020,I078,200,g,FALSE,main
D020,I079,400,ml,FALSE,main
D020,I080,2,EL,FALSE,main
D020,I046,1,Stück,TRUE,side
D020,I081,2,Stück,TRUE,side
D021,I082,300,g,FALSE,main
D021,I083,200,ml,FALSE,main
D021,I023,1,Stück,FALSE,main
D021,I084,1,TL,TRUE,side
D021,I025,1,TL,TRUE,side
D021,I024,0.5,Bund,TRUE,side
D022,I077,350,g,FALSE,main
D022,I085,150,g,FALSE,main
D022,I002,150,ml,FALSE,main
D022,I023,1,Stück,TRUE,side
D022,I046,1,Stück,TRUE,side
D023,I087,250,g,FALSE,main
D023,I062,800,ml,FALSE,main
D023,I023,1,Stück,FALSE,main
D023,I059,200,g,TRUE,side
D023,I036,2,EL,TRUE,side
D023,I088,1,TL,TRUE,side
D024,I089,600,g,FALSE,main
D024,I077,300,g,FALSE,main
D024,I090,2,Stück,FALSE,main
D024,I091,1000,ml,FALSE,main
D024,I092,0.5,Bund,TRUE,side
D024,I002,100,ml,TRUE,side
D024,I093,1,Stück,TRUE,side
D025,I094,4,Scheiben,FALSE,main
D025,I003,2,Stück,FALSE,main
D025,I030,100,ml,FALSE,main
D025,I032,0.5,TL,TRUE,side
D025,I004,1,EL,TRUE,side
D026,I094,4,Scheiben,FALSE,main
D026,I003,2,Stück,FALSE,main
D026,I030,100,ml,FALSE,main
D026,I095,50,g,TRUE,side
D026,I096,50,g,TRUE,side
D027,I061,200,g,FALSE,main
D027,I097,150,g,FALSE,main
D027,I098,50,g,FALSE,main
D027,I052,2,EL,TRUE,side
D027,I013,0.5,Stück,TRUE,side
D028,I067,2,Stück,FALSE,main
D028,I017,150,g,FALSE,main
D028,I054,30,g,TRUE,side
D028,I099,0.5,Bund,TRUE,side
D028,I041,200,g,TRUE,side
D029,I067,2,Stück,FALSE,main
D029,I100,150,g,FALSE,main
D029,I101,30,g,TRUE,side
